"Journal Data Filtered By:  Selected JCR Year: 2019 Selected Editions: SCIE Selected Categories: 'ACOUSTICS','AGRICULTURAL ECONOMICS & POLICY','AGRICULTURAL ENGINEERING','AGRICULTURE, DAIRY & ANIMAL SCIENCE','AGRICULTURE, MULTIDISCIPLINARY','AGRONOMY','AUTOMATION & CONTROL SYSTEMS','BEHAVIORAL SCIENCES','BIOCHEMICAL RESEARCH METHODS','BIOCHEMISTRY & MOLECULAR BIOLOGY','BIODIVERSITY CONSERVATION','BIOLOGY','BIOPHYSICS','BIOTECHNOLOGY & APPLIED MICROBIOLOGY','BUSINESS','BUSINESS, FINANCE','COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE','COMPUTER SCIENCE, CYBERNETICS','COMPUTER SCIENCE, HARDWARE & ARCHITECTURE','COMPUTER SCIENCE, INFORMATION SYSTEMS','COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS','COMPUTER SCIENCE, SOFTWARE ENGINEERING','COMPUTER SCIENCE, THEORY & METHODS','CONSTRUCTION & BUILDING TECHNOLOGY','ECOLOGY','ECONOMICS','ENERGY & FUELS','ENGINEERING, AEROSPACE','ENGINEERING, BIOMEDICAL','ENGINEERING, CHEMICAL','ENGINEERING, CIVIL','ENGINEERING, ELECTRICAL & ELECTRONIC','ENGINEERING, ENVIRONMENTAL','ENGINEERING, GEOLOGICAL','ENGINEERING, INDUSTRIAL','ENGINEERING, MANUFACTURING','ENGINEERING, MARINE','ENGINEERING, MECHANICAL','ENGINEERING, MULTIDISCIPLINARY','ENGINEERING, OCEAN','ENGINEERING, PETROLEUM','ENTOMOLOGY','MANAGEMENT','MARINE & FRESHWATER BIOLOGY','MATERIALS SCIENCE, BIOMATERIALS','MATERIALS SCIENCE, CERAMICS','MATERIALS SCIENCE, CHARACTERIZATION & TESTING','MATERIALS SCIENCE, COATINGS & FILMS','MATERIALS SCIENCE, COMPOSITES','MATERIALS SCIENCE, MULTIDISCIPLINARY','MATERIALS SCIENCE, PAPER & WOOD','MATERIALS SCIENCE, TEXTILES','MATHEMATICS, APPLIED','MATHEMATICS, INTERDISCIPLINARY APPLICATIONS','MECHANICS','METALLURGY & METALLURGICAL ENGINEERING','MULTIDISCIPLINARY SCIENCES','OPERATIONS RESEARCH & MANAGEMENT SCIENCE' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
41,Physics of Life Reviews,"1,627",14.789,0.003160
42,TRENDS IN ECOLOGY & EVOLUTION,"38,177",14.764,0.032380
43,TRENDS IN BIOCHEMICAL SCIENCES,"18,417",14.732,0.032050
44,ACS Nano,"166,989",14.588,0.320020
45,INTERNATIONAL MATERIALS REVIEWS,"5,950",14.429,0.004790
46,TRENDS IN BIOTECHNOLOGY,"17,028",14.343,0.018370
47,Annual Review of Ecology Evolution and Systematics,"20,714",14.041,0.011550
48,Annual Review of Entomology,"13,152",13.796,0.009460
49,Information Fusion,"6,409",13.669,0.011290
50,Journal of Statistical Software,"25,372",13.642,0.053140
51,IEEE Industrial Electronics Magazine,"1,801",13.593,0.003830
52,TRENDS IN MICROBIOLOGY,"13,606",13.546,0.022810
53,Signal Transduction and Targeted Therapy,"1,182",13.493,0.003380
54,Science Advances,"36,381",13.117,0.172220
55,Nature Chemical Biology,"22,085",12.587,0.060130
56,Nature Ecology & Evolution,"6,173",12.543,0.031390
57,Annual Review of Materials Research,"8,346",12.531,0.006830
58,MOLECULAR PSYCHIATRY,"22,227",12.384,0.054790
59,Materials Horizons,"6,332",12.319,0.017420
60,Nature Human Behaviour,"2,457",12.282,0.014210
61,Nano-Micro Letters,"3,393",12.264,0.005790
62,Small Methods,"3,528",12.130,0.008960
63,Nature Communications,"312,602",12.121,1.260840
64,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,"105,054",12.110,0.157170
65,Molecular Plant,"11,432",12.084,0.028590
66,NATURAL PRODUCT REPORTS,"11,240",12.000,0.013630
67,NATURE STRUCTURAL & MOLECULAR BIOLOGY,"27,178",11.980,0.056790
68,Annual Review of Biophysics,"3,014",11.685,0.007440
69,NUCLEIC ACIDS RESEARCH,"201,664",11.502,0.403380
70,Small,"60,569",11.459,0.111310
71,SIAM REVIEW,"9,060",11.431,0.008690
72,IEEE JOURNAL ON SELECTED AREAS IN COMMUNICATIONS,"20,101",11.420,0.040240
73,IEEE WIRELESS COMMUNICATIONS,"8,140",11.391,0.017050
74,IEEE SIGNAL PROCESSING MAGAZINE,"11,566",11.350,0.015950
75,Journal of Materials Chemistry A,"154,853",11.301,0.316680
76,NANO LETTERS,"165,521",11.238,0.279290
77,IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,"15,581",11.169,0.011770
78,MEDICAL IMAGE ANALYSIS,"9,028",11.148,0.017230
79,TRENDS IN MOLECULAR MEDICINE,"10,618",11.099,0.018730
80,GENOME RESEARCH,"41,756",11.093,0.076950
81,IEEE Transactions on Cybernetics,"17,681",11.079,0.052510
82,MOLECULAR BIOLOGY AND EVOLUTION,"50,495",11.062,0.084760
83,IEEE COMMUNICATIONS MAGAZINE,"25,020",11.052,0.052390
84,GENOME BIOLOGY,"44,222",10.806,0.134040
85,BIOTECHNOLOGY ADVANCES,"19,321",10.744,0.019250
86,CELL DEATH AND DIFFERENTIATION,"21,095",10.717,0.029740
87,BIOLOGICAL REVIEWS,"13,493",10.701,0.019480
88,CHEMICAL ENGINEERING JOURNAL,"129,806",10.652,0.154660
89,Journal of Industrial Information Integration,592,10.615,0.000980
90,Materials Today Physics,814,10.443,0.002070
91,Nature Protocols,"42,810",10.419,0.068030
92,BIOMATERIALS,"108,070",10.317,0.089210
93,INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,"5,796",10.312,0.004560
94,BIOSENSORS & BIOELECTRONICS,"62,284",10.257,0.086070
95,PROCEEDINGS OF THE IEEE,"33,312",10.252,0.028320
96,Redox Biology,"10,157",9.986,0.023790
97,IEEE Internet of Things Journal,"12,832",9.936,0.022680
98,Nanoscale Horizons,"1,774",9.927,0.003610
99,EMBO JOURNAL,"64,726",9.889,0.059650
100,CURRENT OPINION IN CHEMICAL BIOLOGY,"10,971",9.689,0.017780
101,PLANT CELL,"54,927",9.618,0.048730
102,CURRENT BIOLOGY,"63,258",9.601,0.133290
103,MOLECULAR ASPECTS OF MEDICINE,"6,207",9.577,0.005750
104,CURRENT OPINION IN SOLID STATE & MATERIALS SCIENCE,"4,130",9.571,0.004530
105,CHEMISTRY OF MATERIALS,"111,299",9.567,0.152630
106,Annual Review of Chemical and Biomolecular Engineering,"1,904",9.561,0.003590
107,IEEE TRANSACTIONS ON FUZZY SYSTEMS,"16,974",9.518,0.025300
108,Science Bulletin,"5,172",9.511,0.014170
109,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,"676,445",9.412,0.932630
110,npj Computational Materials,"2,052",9.341,0.007150
111,IEEE TRANSACTIONS ON IMAGE PROCESSING,"47,814",9.340,0.079450
112,npj 2D Materials and Applications,719,9.324,0.002760
113,IEEE Transactions on Systems Man Cybernetics-Systems,"12,083",9.309,0.022090
114,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,"11,288",9.295,0.015030
115,INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,"11,757",9.219,0.010410
116,ISME Journal,"26,477",9.180,0.051760
117,WATER RESEARCH,"99,442",9.130,0.081170
118,IEEE Transactions on Industrial Informatics,"18,363",9.112,0.035300
119,IEEE Computational Intelligence Magazine,"1,538",9.083,0.002780
120,JOURNAL OF HAZARDOUS MATERIALS,"110,068",9.038,0.070280
121,Molecular Systems Biology,"8,914",8.991,0.017390
122,BRIEFINGS IN BIOINFORMATICS,"7,545",8.990,0.015200
123,MOLECULAR THERAPY,"17,977",8.986,0.030970
124,PROGRESS IN AEROSPACE SCIENCES,"4,324",8.940,0.005160
125,APPLIED ENERGY,"98,570",8.848,0.148360
126,CARBON,"86,891",8.821,0.088280
127,IEEE NETWORK,"5,098",8.808,0.010690
128,IEEE Transactions on Neural Networks and Learning Systems,"27,880",8.793,0.048650
129,ACS Applied Materials & Interfaces,"214,885",8.758,0.424800
130,Bioactive Materials,859,8.724,0.001650
131,Cell Systems,"3,822",8.673,0.029320
132,ECOLOGY LETTERS,"34,488",8.665,0.039170
133,MATRIX BIOLOGY,"6,878",8.572,0.011930
134,GLOBAL CHANGE BIOLOGY,"45,069",8.555,0.074370
135,COMPUTER-AIDED CIVIL AND INFRASTRUCTURE ENGINEERING,"3,746",8.552,0.004680
136,Applied Materials Today,"2,756",8.352,0.006130
137,CRITICAL REVIEWS IN SOLID STATE AND MATERIALS SCIENCES,"1,656",8.344,0.001620
138,Advances in Applied Mechanics,"1,504",8.333,0.000280
139,NEUROSCIENCE AND BIOBEHAVIORAL REVIEWS,"28,871",8.329,0.051980
140,CEMENT AND CONCRETE RESEARCH,"38,685",8.328,0.019610
141,CURRENT OPINION IN BIOTECHNOLOGY,"15,740",8.288,0.023650
142,Advanced Optical Materials,"13,352",8.286,0.035990
143,BIOSCIENCE,"19,070",8.282,0.014280
144,IEEE Transactions on Smart Grid,"26,670",8.267,0.050700
145,JOURNAL OF POWER SOURCES,"125,055",8.247,0.131930
146,Biofabrication,"4,311",8.213,0.007470
147,ENERGY CONVERSION AND MANAGEMENT,"62,270",8.208,0.079530
148,Nano Research,"19,099",8.183,0.038930
149,PLANT BIOTECHNOLOGY JOURNAL,"9,587",8.154,0.018480
150,NPG Asia Materials,"5,176",8.131,0.011750
151,CRITICAL REVIEWS IN BIOTECHNOLOGY,"4,355",8.108,0.006090
152,RESOURCES CONSERVATION AND RECYCLING,"17,121",8.086,0.016020
153,INTERNATIONAL JOURNAL OF MACHINE TOOLS & MANUFACTURE,"15,422",8.019,0.009100
154,ACM COMPUTING SURVEYS,"8,677",7.990,0.012660
155,ONCOGENE,"66,303",7.971,0.068380
156,IEEE Vehicular Technology Magazine,"1,701",7.921,0.004220
157,JOURNAL OF CATALYSIS,"49,686",7.888,0.033450
158,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"187,995",7.864,0.170420
159,Cell Chemical Biology,"3,326",7.739,0.015780
160,ECOLOGICAL MONOGRAPHS,"11,572",7.722,0.008100
161,Computer Science Review,940,7.707,0.002080
162,PROGRESS IN PHOTOVOLTAICS,"7,394",7.690,0.008860
163,Environmental Science & Technology Letters,"3,696",7.678,0.011790
164,ACTA MATERIALIA,"81,679",7.656,0.092240
165,COMPOSITES PART B-ENGINEERING,"37,998",7.635,0.045420
166,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,"3,676",7.634,0.006350
167,ACS Sustainable Chemistry & Engineering,"41,078",7.632,0.077430
168,BIORESOURCE TECHNOLOGY,"131,781",7.539,0.108300
169,Solar RRL,"2,406",7.527,0.005730
170,IEEE TRANSACTIONS ON INDUSTRIAL ELECTRONICS,"64,150",7.515,0.105050
171,IEEE Transactions on Affective Computing,"2,375",7.512,0.003140
172,EMBO REPORTS,"14,976",7.497,0.030270
173,Nanophotonics,"2,940",7.491,0.008420
174,IEEE CONTROL SYSTEMS MAGAZINE,"3,980",7.471,0.004540
175,IEEE Transactions on Sustainable Energy,"10,001",7.440,0.021620
176,Advanced Healthcare Materials,"11,883",7.367,0.027560
177,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,"5,650",7.365,0.007800
178,Virtual and Physical Prototyping,"1,294",7.310,0.002100
179,METABOLIC ENGINEERING,"8,068",7.263,0.016060
180,JOURNAL OF CLEANER PRODUCTION,"104,138",7.246,0.129100
181,Acta Biomaterialia,"39,268",7.242,0.050750
182,Journal of Energy Chemistry,"5,057",7.216,0.007960
183,PATTERN RECOGNITION,"28,857",7.196,0.033910
184,PROGRESS IN QUANTUM ELECTRONICS,"1,246",7.190,0.001310
185,JOURNAL OF MEMBRANE SCIENCE,"73,533",7.183,0.056030
186,2D Materials,"6,616",7.140,0.025310
187,Journal of Magnesium and Alloys,"1,494",7.115,0.002280
188,DESALINATION,"44,845",7.098,0.027840
189,COMPOSITES SCIENCE AND TECHNOLOGY,"36,695",7.094,0.024630
190,eLife,"46,776",7.080,0.287280
191,PLOS BIOLOGY,"31,656",7.076,0.060320
192,npj Biofilms and Microbiomes,790,7.067,0.002840
193,Journal of Materials Chemistry C,"50,676",7.059,0.104680
194,ANTIOXIDANTS & REDOX SIGNALING,"21,034",7.040,0.023920
195,npj Regenerative Medicine,417,7.021,0.001630
196,Additive Manufacturing,"5,146",7.002,0.011410
197,Journal of Advanced Research,"3,564",6.992,0.005470
198,COMMUNICATIONS OF THE ACM,"17,617",6.988,0.010550
199,SOLAR ENERGY MATERIALS AND SOLAR CELLS,"31,687",6.984,0.034410
200,Essays in Biochemistry,"2,383",6.966,0.005070
201,Swarm and Evolutionary Computation,"3,774",6.912,0.004220
202,CURRENT OPINION IN STRUCTURAL BIOLOGY,"11,035",6.908,0.021870
203,Nanoscale,"106,883",6.895,0.207760
204,ACS Photonics,"13,268",6.864,0.048180
204,IEEE Transactions on Dependable and Secure Computing,"2,932",6.864,0.004300
206,Materials Chemistry Frontiers,"4,081",6.788,0.009340
207,IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS,"29,373",6.779,0.057110
208,LAB ON A CHIP,"32,932",6.774,0.041880
209,Conservation Letters,"4,652",6.766,0.012750
210,BMC BIOLOGY,"6,441",6.765,0.018840
211,Applied Mechanics Reviews,"4,433",6.733,0.003360
212,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,"2,220",6.730,0.003810
213,Journal of Physical Chemistry Letters,"50,054",6.710,0.122710
214,IEEE TRANSACTIONS ON MEDICAL IMAGING,"21,657",6.685,0.030280
215,ARTIFICIAL INTELLIGENCE,"9,788",6.628,0.007450
216,Materials Research Letters,"2,198",6.600,0.006720
217,Advanced Electronic Materials,"6,041",6.593,0.017460
218,npj Quantum Materials,"1,077",6.562,0.005470
219,JOURNAL OF INDUSTRIAL ECOLOGY,"6,561",6.539,0.006570
220,JOURNAL OF NANOBIOTECHNOLOGY,"4,376",6.518,0.005910
221,Methods in Ecology and Evolution,"14,303",6.514,0.035310
222,ULTRASONICS SONOCHEMISTRY,"19,708",6.513,0.021010
223,CELLULAR AND MOLECULAR LIFE SCIENCES,"26,128",6.496,0.036990
224,Engineering,"2,011",6.495,0.004680
225,INTERNATIONAL JOURNAL OF PLASTICITY,"13,193",6.490,0.013490
226,CORROSION SCIENCE,"44,347",6.479,0.029410
227,MECHANICAL SYSTEMS AND SIGNAL PROCESSING,"25,317",6.471,0.029100
228,Science Signaling,"12,736",6.467,0.026600
229,ECOGRAPHY,"12,570",6.455,0.019120
230,GLOBAL ECOLOGY AND BIOGEOGRAPHY,"12,959",6.446,0.022400
231,COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,"27,184",6.444,0.023700
232,Green Energy & Environment,787,6.395,0.001640
233,IEEE TRANSACTIONS ON POWER ELECTRONICS,"51,670",6.373,0.072740
234,Ecosystem Services,"7,796",6.330,0.010870
235,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,"15,798",6.319,0.027680
236,MATERIALS & DESIGN,"60,066",6.289,0.085060
237,Molecular Ecology Resources,"10,868",6.286,0.019630
238,RENEWABLE ENERGY,"50,113",6.274,0.062410
239,CEMENT & CONCRETE COMPOSITES,"17,419",6.257,0.016980
240,GENOMICS,"9,595",6.205,0.005780
241,Biomaterials Science,"6,409",6.183,0.012380
242,APPLIED SURFACE SCIENCE,"116,685",6.182,0.132450
243,FREE RADICAL BIOLOGY AND MEDICINE,"42,667",6.170,0.036900
244,Advances in Ecological Research,"2,211",6.167,0.001780
245,JOURNAL OF MATERIALS SCIENCE & TECHNOLOGY,"9,326",6.155,0.011620
246,CHINESE JOURNAL OF CATALYSIS,"7,240",6.146,0.009960
247,Future Generation Computer Systems-The International Journal of eScience,"13,727",6.125,0.016080
248,IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,"6,627",6.112,0.005140
249,Science China-Materials,"2,653",6.098,0.005390
250,BIOMACROMOLECULES,"38,864",6.092,0.031350
251,Annual Review of Animal Biosciences,955,6.091,0.002660
251,Bioengineering & Translational Medicine,595,6.091,0.001660
253,Tissue Engineering Part B-Reviews,"3,594",6.089,0.004160
254,ENERGY,"79,807",6.082,0.106730
255,IEEE TRANSACTIONS ON POWER SYSTEMS,"41,609",6.074,0.050330
256,IEEE TRANSACTIONS ON MULTIMEDIA,"9,000",6.051,0.019770
257,IEEE Transactions on Emerging Topics in Computing,"1,621",6.043,0.003540
258,STEM CELLS,"20,555",6.022,0.024110
259,Computational and Structural Biotechnology Journal,"1,954",6.018,0.004980
260,IEEE Transactions on Information Forensics and Security,"10,916",6.013,0.019580
261,PROGRESS IN CRYSTAL GROWTH AND CHARACTERIZATION OF MATERIALS,"1,131",6.000,0.000710
262,GigaScience,"4,068",5.993,0.016410
262,Journal of CO2 Utilization,"5,031",5.993,0.010190
264,CYTOKINE & GROWTH FACTOR REVIEWS,"5,935",5.982,0.007340
265,Advanced Materials Technologies,"3,275",5.969,0.007470
266,Environmental Chemistry Letters,"3,610",5.922,0.003250
267,KNOWLEDGE-BASED SYSTEMS,"15,975",5.921,0.026400
268,INFORMATION SCIENCES,"36,107",5.910,0.052160
269,Nonlinear Analysis-Hybrid Systems,"2,147",5.881,0.005100
270,Materials Science & Engineering C-Materials for Biological Applications,"36,144",5.880,0.046290
271,Photoacoustics,715,5.870,0.001760
272,SCIENCE AND TECHNOLOGY OF ADVANCED MATERIALS,"5,650",5.866,0.006220
273,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"46,565",5.855,0.049760
274,JOURNAL OF APPLIED ECOLOGY,"20,491",5.840,0.025820
275,Business & Information Systems Engineering,"1,300",5.837,0.001570
276,CATALYSIS TODAY,"38,971",5.825,0.030790
277,IEEE Transactions on Services Computing,"2,911",5.823,0.005140
278,MUTATION RESEARCH-REVIEWS IN MUTATION RESEARCH,"3,622",5.803,0.003130
279,Advances in Carbohydrate Chemistry and Biochemistry,634,5.800,0.000340
279,Engineering Applications of Computational Fluid Mechanics,"1,327",5.800,0.001610
281,Journal of Materiomics,"1,209",5.797,0.002640
282,SEPARATION AND PURIFICATION TECHNOLOGY,"34,812",5.774,0.032800
283,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,"33,874",5.763,0.041370
284,JOURNAL OF ECOLOGY,"20,912",5.762,0.021390
285,ARTIFICIAL INTELLIGENCE REVIEW,"3,229",5.747,0.004000
286,TECHNOVATION,"6,561",5.729,0.003010
287,INTERNATIONAL JOURNAL OF COMPUTER VISION,"16,022",5.698,0.026000
288,INTERNATIONAL JOURNAL OF COAL GEOLOGY,"14,383",5.692,0.014320
289,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"46,801",5.680,0.063860
290,IEEE-ASME TRANSACTIONS ON MECHATRONICS,"11,646",5.673,0.020550
291,AUTOMATION IN CONSTRUCTION,"11,379",5.669,0.010220
292,IEEE TRANSACTIONS ON COMMUNICATIONS,"21,516",5.646,0.037730
293,PROCEEDINGS OF THE COMBUSTION INSTITUTE,"16,963",5.627,0.015780
294,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,"46,732",5.625,0.063140
295,JOURNAL OF SANDWICH STRUCTURES & MATERIALS,"1,618",5.616,0.001720
296,BIOINFORMATICS,"122,243",5.610,0.218270
297,International Journal of Neural Systems,"1,963",5.604,0.002930
297,Materials Today Energy,"1,474",5.604,0.003200
299,Current Opinion in Electrochemistry,"1,855",5.579,0.004700
300,FUEL,"75,609",5.578,0.086010
301,ULTRASOUND IN OBSTETRICS & GYNECOLOGY,"13,078",5.571,0.018070
302,JOURNAL OF NETWORK AND COMPUTER APPLICATIONS,"8,150",5.570,0.011810
303,QUARTERLY REVIEWS OF BIOPHYSICS,"2,066",5.545,0.002530
304,AUTOMATICA,"39,422",5.541,0.067030
304,Scientific Data,"5,761",5.541,0.028720
306,NEURAL NETWORKS,"14,065",5.535,0.019060
307,Sustainable Energy & Fuels,"2,985",5.503,0.007240
308,APPLIED SOFT COMPUTING,"24,071",5.472,0.035090
309,EXPERT SYSTEMS WITH APPLICATIONS,"43,958",5.452,0.039020
310,WASTE MANAGEMENT,"30,533",5.448,0.028480
311,IEEE Transactions on Transportation Electrification,"1,572",5.444,0.004640
312,LANDSCAPE AND URBAN PLANNING,"18,415",5.441,0.016010
313,EXPERIMENTAL AND MOLECULAR MEDICINE,"5,536",5.418,0.010310
314,CONSERVATION BIOLOGY,"22,288",5.405,0.019000
315,IUCrJ,"1,987",5.401,0.008490
316,IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,"31,066",5.379,0.054490
317,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,"12,243",5.373,0.016050
318,MIS QUARTERLY,"19,612",5.361,0.009420
319,RNA Biology,"6,589",5.350,0.015800
320,Journal of Materials Chemistry B,"25,469",5.344,0.048860
321,Microbial Biotechnology,"4,236",5.328,0.007420
322,Journal of Cheminformatics,"3,490",5.326,0.006340
323,OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,"9,563",5.324,0.010060
323,SEPARATION AND PURIFICATION REVIEWS,985,5.324,0.001130
325,Global Change Biology Bioenergy,"3,816",5.316,0.006630
326,REVIEWS IN CHEMICAL ENGINEERING,"1,127",5.315,0.001490
327,IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY,"14,139",5.312,0.021150
328,Research Synthesis Methods,"2,572",5.299,0.006450
329,COMPUTERS & EDUCATION,"15,521",5.296,0.013370
330,Friction,897,5.290,0.001710
331,Journal of Materials Research and Technology-JMR&T,"2,395",5.289,0.002660
332,Advances in Agronomy,"5,463",5.279,0.003240
333,JOURNAL OF INDUSTRIAL AND ENGINEERING CHEMISTRY,"19,496",5.278,0.027780
334,Sustainable Cities and Society,"7,140",5.268,0.010100
335,Acta Crystallographica Section D-Structural Biology,"21,750",5.266,0.018220
336,JOURNAL OF STRATEGIC INFORMATION SYSTEMS,"2,005",5.231,0.001610
337,IEEE Journal of Biomedical and Health Informatics,"5,472",5.223,0.012980
338,IEEE Transactions on Network Science and Engineering,563,5.213,0.001570
339,MRS BULLETIN,"8,052",5.177,0.009060
340,MOLECULAR ECOLOGY,"38,953",5.163,0.050880
341,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,"47,121",5.162,0.056970
342,BIOCHEMICAL SOCIETY TRANSACTIONS,"12,651",5.160,0.016130
343,INFORMATION & MANAGEMENT,"8,292",5.155,0.005760
344,Foundations and Trends in Information Retrieval,421,5.143,0.000270
345,COMPOSITE STRUCTURES,"43,188",5.138,0.052470
346,INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"23,667",5.134,0.020740
