uri_s,title_s,subTitle_s,authFullName_s,docType_s,doiId_s,producedDateY_i,journalTitle_s,journalPublisher_s,conferenceTitle_s,language_s
https://hal.archives-ouvertes.fr/hal-02884574,Applying a Living Lab Approach to Smart Grid Training Course Design,,"Alex Gabriel,Laurent Dupont,Mauricio Camargo,Kévin Berger,Valerie Rault,Frédérique Mayer",COMM,10.1109/ICE/ITMC49519.2020.9198604,2020,,,"26th ICE / IEEE ITMC International Conference on Engineering, Technology & Innovation",en
https://hal.archives-ouvertes.fr/hal-02568984,Analysis and Improvement of an Innovative Solution Through Risk Reduction: Application to Home Care for the Elderly,,"Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",ART,10.25046/aj050321,2020,"Advances in Science, Technology and Engineering Systems Journal",Advances in Science Technology and Engineering Systems Journal (ASTESJ),,en
https://hal.archives-ouvertes.fr/hal-02446563,Sustainable risk management strategy selection using a fuzzy multi-criteria decision approach,,"Abla Mimi Edjossan-Sossou,Daniel Galvez,Olivier Deck,Marwan Al Heib,Thierry Verdel,Laurent Dupont,Olivier Chery,Mauricio Camargo,Laure Morel",ART,10.1016/j.ijdrr.2020.101474,2020,International Journal of Disaster Risk Reduction,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02564895,Digitalization and SMEs’ Export Management: Impacts on Resources and Capabilities,,"Benjamin Dethine,Manon Enjolras,Davy Monticolo",ART,10.22215/timreview/1344,2020,Technology Innovation Management Review,Talent First Network,,en
https://hal.archives-ouvertes.fr/hal-02564902,How do Institutions Promote Digital Marketing in Small and Medium International Companies: Comparison between Costa Rica and France,,"Karen Victoria Herrera Carpio,Susan Arce,Manon Enjolras,Mauricio Camargo",ART,10.22215/timreview/1347,2020,Technology Innovation Management Review,Talent First Network,,en
https://hal.archives-ouvertes.fr/hal-02560198,Mechanical Properties of Direct Waste Printing of Polylactic Acid with Universal Pellets Extruder: Comparison to Fused Filament Fabrication on Open-Source Desktop Three-Dimensional Printers,,"Arthur Alexandre,Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo,Joshua Pearce",ART,10.1089/3dp.2019.0195,2020,3D Printing and Additive Manufacturing,Mary Ann Liebert Inc.,,en
https://hal.archives-ouvertes.fr/hal-02551341,Physiological assessment of User eXprience supported by Immersive Environments: First input from a literature review,,"Mariela Martinez,Giovanny Arbelaez Garces,Laurent Dupont,Anaëlle Hily,Mauricio Camargo,Christel Jacob,Jérôme Dinet",COMM,,2020,,,ConVRgence (VRIC) Virtual Reality International Conference,en
https://hal.univ-lorraine.fr/hal-02565428,Development of an IMU-based ergonomics assessment tool for virtual reality,,"Giovanny Arbelaez Garces,Julien Michaux,Mauricio Camargo,Nicolas Ferveur",COMM,10.20870/IJVR.2020...3316,2020,,,ConVRgence (VRIC) Virtual Reality International Conference Proceedings,en
https://hal.archives-ouvertes.fr/hal-02553833,Reliability of virtual reality for user experience in spatial cognition: an exploratory approach,,"Anaëlle Hily,Christel Jacob,Laurent Dupont,Giovanny Arbelaez,Jérôme Dinet,Mauricio Camargo",COMM,,2020,,,ConVRgence (VRIC) Virtual Reality International Conference 2020,en
https://hal.archives-ouvertes.fr/hal-02500528,From technological demonstrator to sustainable supply chain demonstrator: a conceptual framework,,"Brunelle Marche,Fedoua Kasmi,Fabio Sanchez,Frédérique Mayer,Laurent Dupont",COMM,,2020,,,Spring of Innovation,en
https://hal.archives-ouvertes.fr/hal-02398793,Closed loop supply chain network for local and distributed plastic recycling for 3D printing: a MILP-based optimization approach,,"Pavlo Santander,Fabio Cruz Sanchez,Hakim Boudaoud,Mauricio Camargo",ART,10.1016/j.resconrec.2019.104531,2020,"Resources, Conservation and Recycling",Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02560166,Challenges and trends in the valuation of ecosystem services in agro-ecosystems: a systematic revision,,"Vadimir Melgarejo-Carreno,Sandra Cecilia Bautista Rodríguez,Mauricio Camargo",ART,,2020,Tropical and Subtropical Agroecosystems,,,en
https://hal.univ-lorraine.fr/hal-02507196,Living lab organization and practices as useful tools to stimulate innovation in forestry practices,,"Maxence Arnould,Laure Morel,Meriem Fournier",COMM,,2020,,,Governing and managing forests for multiple ecosystem services across the globe,en
https://hal.archives-ouvertes.fr/hal-02487442,System control of situations perceived by their simplexity: case-study and open-issues,,"Frédérique Mayer,Jean-Marc Dupont,David Gouyon,Eric Levrat,Jean-Pierre Hennebicq,Gérard Morel",UNDEFINED,,2020,,,,en
https://hal.archives-ouvertes.fr/hal-02878128,"Les espaces Do It Yourself\, vivre ou survivre ?",,"Laurent Dupont,Laure Morel",OTHER,,2020,,,,fr
https://hal.univ-lorraine.fr/hal-02482689,Nouvelle dynamique des mélanges fluides continus Partie 1 : En relativité restreinte,,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",UNDEFINED,,2020,,,,fr
https://hal.univ-lorraine.fr/hal-02482702,Nouvelle dynamique des mélanges fluides continus Part 2 : En relativité générale,,"C. Fonteix,Dimitrios Meimaroglou,M. Camargo,M. Feidt",UNDEFINED,,2020,,,,fr
https://hal.archives-ouvertes.fr/hal-02540404,Industrial Symbiosis and Territorial Development: The Cross-Fertilization of Proximity Dynamics and the Role of Information and Knowledge Flows,,Fedoua Kasmi,ART,10.1007/s13132-020-00631-7,2020,Journal of the Knowledge Economy,Springer,,en
https://hal.archives-ouvertes.fr/hal-02878132,Collaborative spaces promoting creativity and innovation,,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",ART,10.3917/jie.031.0001,2020,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-02446557,Espaces et nouvelles formes d’organisation du travail créatif,,"Sophie Boutillier,Ignasi Capdevila,Laurent Dupont,Laure Morel",ART,10.3917/inno.061.0005,2020,Innovations - Revue d’économie et de management de l'innovation,De Boeck Supérieur,,fr
https://hal.univ-lorraine.fr/hal-02877827,"Dynamique des mélanges fluides continus Part 2 : bilans de quantité de mouvement\, d'énergie et d'entropie par constituant",,"Christian Fonteix,Michel Feidt,Mauricio Camargo",UNDEFINED,,2020,,,,fr
https://hal.univ-lorraine.fr/hal-02877862,Dynamique des mélanges fluides continus Part 3 : Nouvelle modélisation des forces d'interaction entre molécules et des non-linéarités de la diffusion,,"Christian Fonteix,Michel Feidt,Mauricio Camargo",UNDEFINED,,2020,,,,fr
https://hal.univ-lorraine.fr/hal-02877748,Dynamique des mélanges fluides continus Part 1 : Applications d’une nouvelle formulation du deuxième principe de la thermodynamique,,"C. Fonteix,M. Feidt,M. Camargo",UNDEFINED,,2020,,,,fr
https://hal.archives-ouvertes.fr/hal-02453808,"Shaping a Public Innovation Laboratory in Bogota: Learning through Time\, Space and Stakeholders",,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,Carlos Sandoval,José Ismael Peña",ART,10.3917/jie.pr1.0066,2020,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-02845177,Towards an improved acceptability assessment model of innovative solutions in the design phase,,"Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",ART,10.1504/IJBIS.2020.10029802,2020,International Journal of Business Information Systems,Inderscience,,en
https://hal.archives-ouvertes.fr/hal-02427540,Safety demonstration of autonomous vehicles: a review and future research questions,,"Tchoya Florence Kone,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",COMM,10.1007/978-3-030-34843-4_15,2019,,,"10th Complex Systems Design & Management, CSD&M 2019",en
https://hal.univ-lorraine.fr/tel-02518459,"L’approche Urban Living Lab pour insuffler l’innovation en urbanisme ? Contribution à la conception d’une ingénierie de pilotage de l’innovation urbaine : application à l’Opération d’Intérêt National d’Alzette Belval,Inspire innovation into urban planning with Urban Living Lab approach? Contribution to the design of an urban innovation management engineering : application to the Opération d’Intérêt National d’Alzette Belval",,Jonathan Lacroix,THESE,,2019,,,,fr
https://hal.archives-ouvertes.fr/hal-02984936,Challenges for autonomous vehicles (AVs) engineering: Safety validation of functional performance limitations,,"Tchoya Florence Koné,Eric Bonjour,Eric Levrat,Frédérique Mayer,Stéphane Géronimi",ART,10.1002/inst.12270,2019,INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,en
https://hal.archives-ouvertes.fr/hal-02423280,Review of the AFIS 2018 Academy-Industry meetings in Nancy -The celebration of the 20th anniversary of AFIS!,,"Eric Levrat,Eric Bonjour,David Gouyon,Pascale Marangé,Frédérique Mayer,Hervé Panetto,Jean-Claude Tucoulou",ART,10.1002/inst.12265,2019,INSIGHT - International Council on Systems Engineering (INCOSE),Wiley,,en
https://hal.archives-ouvertes.fr/hal-02500522,Economic and environmental sustainability dimensions assessment of a biorefinery to obtain value-added products using Poplar (Populus sp.) as raw material,,"Juan C. Solarte Toro,Carlos Ariel Cardona,Javier Arrieta-Escobar,Brunelle Marche,Vincent Boly",COMM,,2019,,,Woodchem 2019,en
https://hal.univ-lorraine.fr/tel-02555923,"Supporting the transformation of a company's project management by elaborating an invariant-based project management maturity model and a causal predictive model between maturity criteria and project performance,Soutien à la transformation de la gestion de projet d'une entreprise par l'élaboration d'un modèle de maturité de gestion de projet et d'un modèle prédictif causal entre les critères de maturité et la performance du projet",,Felipe Sanchez Garzon,THESE,,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02500518,Approche prospectiviste dans la conception de filière alternative : Application au cas de la lignine,,"Brunelle Marche,Javier Arrieta-Escobar,Vincent Boly,Juan Solarte-Toro,Carlos Ariel Cardona Alzate",COMM,,2019,,,8èmes journées du GDR 3544 « Sciences du bois »,fr
https://hal.univ-lorraine.fr/tel-02517128,"From “shared diagnosis” to “shared action” : how Living Lab process can support decision-making process involving citizen for Smart City,D’un « diagnostic partagé » à « l’action partagée » : comment le mode projet Living Lab peut alimenter le processus d’aide à la décision du « faire la ville » en intégrant les citoyens pour une ville intelligente",,Tran Thi Hoang Giang,THESE,,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02339889,Editorial - Special issue on System of Systems Engineering,,"Franck Davoine,Eric Bonjour",ART,10.1002/sys.21525,2019,Systems Engineering,Wiley,,en
https://hal.archives-ouvertes.fr/hal-02520335,Élaboration de filaments élastomère thermoplastiques pour l'impression de structures multi-polymères par dépôt de fil fondu,,"Sandrine Hoppe,Jennifer Villamil,A El Akroud,Hakim Boudaoud,Cécile Nouvel",COMM,,2019,,,17ème Congrès de la Société Française de Génie des Procédés (SFGP),fr
https://hal.archives-ouvertes.fr/hal-02500577,Integration of Heuristic Knowledge in the Design of a Skin Moisturizer,,"Javier Arrieta-Escobar,Vincent Boly",COMM,,2019,,,"SKIN & FORMULATION, 5th SYMPOSIUM & 17th SKIN FORUM",en
https://hal.archives-ouvertes.fr/hal-02307769,Immersive Collaborative Innovation,,"Laurent Dupont,Giovanny Arbelaez Garces",COMM,,2019,,,"Tohoku University / Lorraine University seminar - Health, Technology, and Humanities in the XXI Century",en
https://hal.archives-ouvertes.fr/hal-02942144,Interface modeling for product‐service system integration,,"Elaheh Maleki,Farouk Belkadi,Eric Bonjour,Ali Slayman,Alain Bernard",ART,10.1002/sys.21522,2019,Systems Engineering,Wiley,,en
https://hal.univ-lorraine.fr/tel-02499176,"Design of information and technology tools to support the process of creativity and innovation,Conception d'outils d'information et de technologie pour soutenir le processus de créativité et d'innovation",,Pedro Chávez Barrios,THESE,,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02284566,Application of Decision-Making Methods in Smart City Projects: A Systematic Literature Review,,"Giang Tran Thi Hoang,Laurent Dupont,Mauricio Camargo",ART,10.3390/smartcities2030027,2019,Smart Cities,MDPI,,en
https://hal.archives-ouvertes.fr/hal-02367404,System‐centered specification of physico–physiological interactions of sensory perception,,"Jean-Marc Dupont,Frédérique Mayer,Fabien Bouffaron,Romain Lieber,Gérard Morel",COUV,10.1002/9781119644576,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02520662,Specific adhesion test definition for 3D printed composite structures,,"A El Akroud,Jennifer Villamil,Sandrine Hoppe,Boudaoud Hakim,Cécile Nouvel",COMM,,2019,,,19èmes EMI International Conférence,en
https://hal.archives-ouvertes.fr/hal-02290507,Collaborer et coopérer pour faire réseau : dynamique collective d'enseignants en formation à l'accompagnement pédagogique,,"Raphaël Bary,Marie-Reine Boudarel",COMM,,2019,,,Questions de Pédagogies dans l'Enseignement Supérieur,fr
https://hal.univ-lorraine.fr/hal-03005579,Concevoir et innover la supply chain pour l’alimentation. Le cas des personnes âgées,,Auguste Rakotondranaivo,COMM,,2019,,,PROLOG 2019: International Conference on Project Logistics,fr
https://hal.univ-lorraine.fr/hal-03005578,Application du Lean Six-Sigma pour l’amélioration la supply chain hospitalière et évaluation de son acceptabilité,,"Auguste Rakotondranaivo,Nathalie Rouyer,Eric Bonjour",COMM,,2019,,,PROLOG 2019: International Conference on Project Logistics,fr
https://hal.archives-ouvertes.fr/hal-02006063,Interfaces modeling for Product-Service System integration,,"Elaheh Maleki,Farouk Belkadi,Eric Bonjour,Alain Bernard",COMM,,2019,,,IEEE 2018 13th Annual Conference on System of Systems Engineering (SoSE),en
https://hal.univ-lorraine.fr/hal-02266212,A referential framework for the choice of prototypes in the design phase of a mobile application,,"Samuel Marie-Rose,Giovanny Arbelaez,Mauricio Camargo",COMM,10.1109/ICE.2019.8792568,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02266922,"Innovation Acceptability in Elderly Care: A Risk Evaluation Approach,Acceptabilité des innovations pour la prise en Charge des personnes âgées : une approche par l’évaluation de risques.",,"Linda Acosta Salgado,Auguste Rakotondranaivo,Eric Bonjour",COMM,,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02266978,Constellation of Innovation Laboratories: A Scientific Outlook,,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,José Ismael Peña",COMM,10.1109/ICE.2019.8792816,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02267002,A systematic multicriteria-based approach to support the implementation of a Warehouse Management System in the context of humanitarian logistics,,"Puech Emilie,Enjolras Manon,Camargo Mauricio",COMM,,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.univ-lorraine.fr/hal-02321804,A collaborative tool to design the product/supply chain couple in a high-tech environment: application to an electromagnetic sensor,,"Brunelle Marche,Vincent Boly,Frédérique Mayer,J. Roland Ortt",COMM,10.1109/ICE.2019.8792625,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.univ-lorraine.fr/hal-02321814,The process of customer/supplier collaboration in innovation projects – A literature review,,"Carlos Abraham Moya,Vincent Boly,Daniel Galvez,Laure Morel,Brunelle Marche",COMM,10.1109/ICE.2019.8792642,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02267003,The Link between Innovation and Export: Evidences from small-sized firms practices,,"Manon Enjolras,Mauricio Camargo,Vincent Boly,Christophe Schmitt",COMM,10.1109/ICE.2019.8792656,2019,,,"2019 IEEE International Conference on Engineering, Technology and Innovation (ICE/ITMC)",en
https://hal.archives-ouvertes.fr/hal-02168351,Proposal of a Harmonic Bees Algorithm for Design Optimization of a Gripper Mechanism,,"Osman Acar,Mete Kalyoncu,Alaa Hassan",COUV,10.1007/978-3-030-20131-9_280,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02168355,Process and resource selection methodology in design for additive manufacturing,,"Shervin Kadkhoda-Ahmadi,Alaa Hassan,Elnaz Asadollahi-Yazdi",ART,10.1007/s00170-019-03991-w,2019,International Journal of Advanced Manufacturing Technology,Springer Verlag,,en
https://hal.archives-ouvertes.fr/hal-02151353,A green procurement methodology based on Kraljic Matrix for supplier`s evaluation and selection: a case study from the chemical sector,,"Felipe Sanchez Garzon,Manon Enjolras,Mauricio Camargo,Laure Morel",ART,10.1080/16258312.2019.1622446,2019,Supply Chain Forum: An International Journal,Kedge Business School,,en
https://hal.archives-ouvertes.fr/hal-02412591,Lorraine Fab Living Lab : Mise en place d'un éco-système de co-production,,Laurent Dupont,COMM,,2019,,,"Rencontres semestrielles sur les liens entre la Ville et l’Université - Les Entretiens de Sceaux 2e session ""Territoire apprenant...  id est ?""",fr
https://hal.archives-ouvertes.fr/hal-02061928,"Evaluating air quality by combining stationary\, smart mobile pollution monitoring and data-driven modelling",,"Adriana Simona Mihăiţă,Laurent Dupont,Olivier Chery,Mauricio Camargo,Chen Cai",ART,10.1016/j.jclepro.2019.02.179,2019,Journal of Cleaner Production,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02278907,Activity Modeling of Preliminary Additive Manufacturing Process Planning,,"Shervin Kadkhoda-Ahmadi,Alaa Hassan,Elnaz Asadollahi-Yazdi",COMM,,2019,,,CIRP Design,en
https://hal-univ-lyon3.archives-ouvertes.fr/hal-02166163,A Step for improving the transition between traditional Project Management to Agile Project Management,,"Felipe Sanchez Garzon,Jean-Pierre Micaëlli,Eric Bonjour,Davy Monticolo",ART,10.19255/JMPM01906,2019,The Journal of Modern Project Management,jmpm,,en
https://hal.univ-lorraine.fr/hal-01919436,"Understanding user representations\, a new development path for supporting Smart City policy: Evaluation of the electric car use in Lorraine Region",,"Laurent Dupont,Julien Hubert,Claudine Guidat,Mauricio Camargo",ART,10.1016/j.techfore.2018.10.027,2019,Technological Forecasting and Social Change,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02194570,ValYooTrust : Plateforme de confiance et incitative pour l'innovation collaborative,,"Laurent Dupont,Eric Seuillet,Patrick Duvaut",COUV,,2019,,,,fr
https://hal.archives-ouvertes.fr/hal-02941988,Adapting project management maturity models for the Industry 4.0,,"Felipe Sanchez Garzon,Davy Monticolo,Eric Bonjour,Jean-Pierre Micaëlli",COMM,,2019,,,Project Management Congress: Research meets Practice. Towards Project Management 3.0,en
https://hal.archives-ouvertes.fr/hal-02492155,Innovation capabilities assessment: a sectorial view supported by an original diagnostic tool - the Potential Innovation Index,,"Manon Enjolras,Alice de Casanove,Laure Morel,Johan Claire",COMM,,2019,,,IAMOT - Conference Proceedings of the 28th International Conference on Management of Technology.,en
https://hal.archives-ouvertes.fr/hal-02492164,Open innovation learning : From concepts to targeted competences,,"Brunelle Marche,Manon Enjolras,Vincent Boly",COMM,,2019,,,IAMOT 2019 - Conference Proceedings of the 28th International Conference on Management of Technology,en
https://hal.archives-ouvertes.fr/hal-02072187,Multiobjective optimization for the design of phase III biorefinery sustainable supply chain,,"Andrea Teresa Espinoza Pérez,Paulo César Narváez Rincón,Mauricio Camargo,Miguel Domingo Alfaro Marchant",ART,10.1016/j.jclepro.2019.02.268,2019,Journal of Cleaner Production,Elsevier,,en
https://hal.archives-ouvertes.fr/hal-02051719,Donner forme à un réseau pour accompagner la transformation pédagogique,,"Raphaël Bary,Marie-Reine Boudarel",REPORT,,2019,,,,fr
https://hal.archives-ouvertes.fr/hal-02004952,Are High-Tech Companies More Competitive Than Others? An Empirical Study of Innovative and Exporting French SMEs,,"Manon Enjolras,Mauricio Camargo,Christophe Schmitt",ART,10.22215/timreview/1206,2019,Technology Innovation Management Review,Talent First Network,,en
https://hal.archives-ouvertes.fr/hal-01987047,Design and management of innovation laboratories: Toward a performance assessment tool,,"Ferney Osorio,Laurent Dupont,Mauricio Camargo,Pedro Palominos,José Ismael Peña,Miguel Alfaro",ART,10.1111/caim.12301,2019,Creativity and Innovation Management,Wiley,,en
https://hal.archives-ouvertes.fr/hal-02047441,Confiance et Technologie : Deux Dimensions de l’Innovation Ouverte et Agile appliquée à l’Énergie,,"Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",ART,10.21494/ISTE.OP.2019.0314,2019,Technologie et innovation,ISTE OpenScience,,en
https://hal.archives-ouvertes.fr/hal-02492141,Le caractère dynamique et évolutif de la notion d’innovation : Quelles conséquences pour l’évaluation de la capacité à innover des entreprises ?,,"Manon Enjolras,Daniel Galvez,Johan Claire,Mauricio Camargo,Vincent Boly",ART,10.21494/ISTE.OP.2019.0317,2019,Technologie et innovation,ISTE OpenScience,,en
https://hal.archives-ouvertes.fr/hal-01973288,Agilité et conception de filière : le cas de la montre SWATCH,,"Brunelle Marche,Vincent Boly,Laure Morel,Frédérique Mayer,Roland Ortt",ART,10.21494/ISTE.OP.2019.0315,2019,Technologie et innovation,ISTE OpenScience,,en
https://hal.archives-ouvertes.fr/hal-02492205,Innovation Spaces in Universities: Support for Collaborative Learning,,"Lorena Delgado,Daniel Galvez,Alaa Hassan,Pedro Palominos,Laure Morel",ART,10.3917/jie.pr1.0064,2019,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-02281238,Clustering alternative product formulations using graphs,,"Fernando Bernardo,Javier Arrieta-Escobar",COUV,,2019,,,,en
https://hal.archives-ouvertes.fr/hal-02281239,Integration of Consumer Preferences and Heuristic Knowledge in the Design of Formulated Products: Application to a Cosmetic Emulsion,,"Javier Arrieta-Escobar,Fernando Bernardo,Alvaro Orjuela,Mauricio Camargo,Laure Morel,Laurent Wendling",COUV,10.1016/B978-0-12-818634-3.50073-4,2019,,,,en
https://hal.univ-lorraine.fr/hal-02010213,Agile innovation: Creating value in uncertain environments,,Laurent Dupont,ART,10.3917/jie.028.0001,2019,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.univ-lorraine.fr/hal-02010208,Communautés et agilité : la complexité de l’organisation innovante,,"Florence Crespin-Mazet,Karine Goglio-Primard,Claude Guittard,Laurent Dupont",ART,10.3917/inno.058.0005,2019,Innovations - Revue d’économie et de management de l'innovation,De Boeck Supérieur,,fr
https://hal.univ-lorraine.fr/hal-02010217,Living lab as a support to trust for co-creation of value: application to the consumer energy market,,"Laurent Dupont,Joëlle Mastelic,Nathalie Nyffeler,Sophie Latrille,Eric Seulliet",ART,10.3917/jie.028.0053,2019,Journal of Innovation Economics & Management,De Boeck Supérieur,,en
https://hal.archives-ouvertes.fr/hal-01987055,Innovation Agile : Regards Pluridisciplinaires,,"Laurent Dupont,Laure Morel",ART,10.21494/ISTE.OP.2019.0312,2019,Technologie et innovation,ISTE OpenScience,,fr
https://hal.archives-ouvertes.fr/hal-02155509,Spécification centrée système d’interactions physico-physiologiques de perception sensorielle,,"Jean-Marc Dupont,Frédérique Mayer,Fabien Bouffaron,Romain Lieber,Gérard Morel",COUV,,2019,,,,fr
https://hal.archives-ouvertes.fr/hal-02942265,Complex Systems Design & Management - CSDM 2018 Proceedings,,"Eric Bonjour,Daniel Krob,Luca Palladino,François Stephan",OUV,10.1007/978-3-030-04209-7,2019,,,,en
https://hal.univ-lorraine.fr/hal-01959521,A new framework to support Lean Six Sigma deployment in SMEs,,"Carlos Abraham Moya,Daniel Galvez,Laurent Muller,Mauricio Camargo",ART,10.1108/IJLSS-01-2018-0001,2018,International Journal of Lean Six Sigma,Emerald Publishing,,en
https://hal.univ-lorraine.fr/tel-02122781,"Methodological approach for the sustainable design of structured chemical products during early design stages,Approche méthodologique pour la conception durable de produits chimiques structurés dans les premières phases de la conception",,Juliana Serna Rodas,THESE,,2018,,,,en
https://hal.univ-lorraine.fr/tel-02122637,"An Integrated Methodology for Chemical Product Design: Application to Cosmetic Emulsions,Une méthodologie intégrée de conception de produits chimiques : application sur des émulsions cosmétiques",,Javier Arrieta-Escobar,THESE,,2018,,,,en
